FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,269.5123323,260.2242779,232.5306387,425.823301,170.368,628.3988073,694.6954457,673.3114457,633.5560749,707.191217,657.2560113,409.681953,416.4677258,434.6777979,310.1608531,223.9066063
Carvao mineral,549.834,542.538,578.6234193,591.5284554,342.2949471,423.8705133,499.8866484,449.6228447,451.8185529,431.055808,477.6160106,286.319784,289.1620284,321.4397369,236.2875602,167.4390097
Lenha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleo diesel,211.1099795,220.8750098,239.4584719,242.5365669,216.4158642,247.1793259,347.9461598,365.2592967,376.0415294,400.1203838,367.007859,358.0345352,339.6974359,326.6359919,335.2980077,338.7571094
Biodiesel,0.003530634,0.343875773,2.156448463,6.011198861,7.153829474,12.03563178,17.10360964,17.95465262,18.48466306,22.46224865,25.8000047,25.16919587,26.73943238,32.78284235,36.10915749,39.98853751
Oleo combustivel,572.2156151,650.202,762.9804,501.557,351.0899,370.96272,200.2245827,190.9558674,202.7855801,166.1218364,165.681171,151.6046688,84.0340502,86.07030313,118.8222187,115.5806267
GLP,31.62012651,19.54589,21.4046115,21.76950119,21.83337402,18.941,21.75073552,31.48667186,37.60045408,28.14616772,22.16259269,41.26378981,37.92826333,35.21795256,25.44583772,31.0000812
Querosene,1.376758758,0.822,1.341682951,1.3152,1.644,0.6105816,0.561375858,0.710263896,0.846321336,1.04108355,0.52345371,1.01559744,0.800489904,0.728766294,0.69441738,0.781386624
Eletricidade,828.5613151,862.5542,928.1212768,969.5509254,707.7721756,971.8,1027.3603,1010.77004,1018.40254,1057.128994,1095.82103,1016.6146,1074.747554,1136.49815,1032.485469,1016.971272
Carvao vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outras fontes,300.1667172,317.772,428.643,437.373,435.87,507.5276292,524.6703606,498.4317,506.1051,543.75,532.875,422.7765,385.7886464,361.6615656,323.121798,206.9560473
