FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,984.4642737,1062.668213,1186.24,1424.81369,1367.821142,1584,1668.93097,1569.926343,1542.501757,1526.051673,1493.87396,1535.227909,1453.845314,1450.840246,1179.604032,699.1021985
Carvao mineral,98.57667137,121.0912268,142.1511685,185.1698316,219.1336851,86.91967755,89.61451849,93.92100239,165.5210761,212.2976664,168.2808121,10.6439332,12.65790067,20.25657886,10.64182368,0.89702045
Lenha,702.537438,723.54,752.4816,797.63,783.27266,874.4455976,898.0556288,889.073955,906.8616,897.792984,870.8272,818.5426,825.1217572,844.1650038,852.870688,812.3905786
Bagaco de cana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleo diesel,112.57772,116.2053142,123.2135411,125.3986746,124.4899007,136.769071,146.5832327,153.8364154,178.4786228,186.3486729,150.8441665,111.4081048,96.3730947,85.94177287,86.95469784,93.94849482
Biodiesel,0.001882766,0.180917671,1.109602217,3.107969983,4.115130488,6.659546352,7.205431995,7.561968781,8.773278876,10.46137712,10.60407866,7.831793125,7.586050339,8.625551565,9.364388713,11.09013746
Oleo combustivel,357.8141808,226.324,300.6117204,309.6611,309.6611,176.7269285,169.8755967,101.1228778,110.6488989,111.173489,71.24479425,55.64331993,86.48202384,70.74580201,49.78508941,44.29739685
GLP,148.0672941,170.7745,184.0880039,191.7637875,200.050515,152.75,196.4522587,214.9698379,257.3872843,262.0490593,187.6723979,165.7048271,152.07062,158.2802916,157.1410688,165.4994514
Querosene,4.576671594,3.1236,2.232249898,1.0686,0.822,1.190256,1.210806,0.9980724,0.49518102,0.1974444,0.361883856,0.226872,0.2023764,0.22605,0.126588,0.12741
Eletricidade,3024.456463,3219.077503,3282.989766,3390.173191,3315.058877,3380.136699,3620.380286,3654.578728,3940.51491,3986.286798,3918.39391,3948.0189,3937.91191,4199.310859,4236.711515,4116.223341
Carvao vegetal,9.91287,10.1111274,10.61668377,11.20060138,10.99899055,12.27927305,12.61081343,12.97491,13.1784,13.046616,12.274,11.6603,11.75402139,12.02529617,12.14931035,11.57266325
Outras fontes secundarias,380.0931,399.102,439.1647543,447.9190888,468.7689435,481.4164127,529.2871406,502.817805,507.8886,502.809714,427.431,375.9096,349.351029,321.6724309,361.0997406,343.9607332
