FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,519.3574087,559.5714739,596.64,508.8420713,483.3999677,676.3117549,756.1000264,768.6799779,808.819022,847.845231,804.8482864,777.6624186,811.845801,969.2266604,915.024096,899.7714012
Carvao mineral,84.58656,82.08847972,80.36691373,80.67990811,83.80614413,111.6078999,125.5366051,123.5028529,123.7044275,117.1826527,85.89644135,83.93565187,95.90047421,97.05507144,104.4320166,93.26236664
Lenha,1172.078334,1251.78,1296.079,1373.61,1449.15855,1513.356274,1516.382986,1531.54681,1615.627,1712.6632,1832.549624,1949.09978,1985.453829,2013.23758,2002.363412,1974.658768
Bagaco de cana,33.30883055,34.07536,36.1198816,36.631012,38.82887272,40.54899178,40.5840145,24.278694,25.24984176,25.09011351,27.22277316,29.94505047,31.0919365,33.49305496,31.27871687,33.28337589
Lixivia,3341.825101,3597.849535,3842.497577,4077.695798,4334.590634,4710.601575,4720.901305,4640.102887,4983.492634,5431.953912,5837.177674,6245.780111,6469.651911,6918.14313,6513.26331,6867.255411
Carvao vegetal,539.6882263,660,713,755.78,786.0112,870.0813859,870.9514673,777,831.39,656,691.424,724.8889216,738.4093415,748.7423853,744.6981776,734.3945546
Oleo diesel,59.79864718,43.63149197,64.08447977,66.16886583,65.52100036,72.53823611,109.6724033,117.3400743,129.9989335,155.1182657,161.1678539,170.0084202,169.4280504,186.3566813,171.832672,205.5807391
Biodiesel,0.001000081,0.067928975,0.577114173,1.639976256,2.165858151,3.532024763,5.391046638,5.767957973,6.390215697,8.708141836,11.32981566,11.95129187,13.33660315,18.70370031,18.50512939,24.26775075
Oleo combustivel,633.3319145,431.55,470.869,499.0636,499.0636,466.1781817,389.8606046,328.3088584,304.4035404,364.6487447,341.3033602,367.8473661,291.6573939,253.6836166,204.6291493,221.0399465
GLP,55.91152209,25.4787,29.328,29.41110822,29.78870511,30.55,44.91669648,50.26270296,60.00597904,72.56101956,71.5836498,68.24566271,69.51888488,69.55935588,63.99743616,70.20400294
Coque de petroleo,0.028718214,0,0.027769055,0,0,0.00822,0.02466,0,0,0,0,0,0,0,0,0
Eletricidade,1270.480605,1329.8782,1425.665912,1527.680448,1573.510861,1635.729546,1640.636735,1635.978,1685.05734,1781.133788,1864.847076,1952.086711,1998.085108,2057.631722,2015.287023,2026.664466
