FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,2159.210512,2235.704655,2258.96,2322.848,2276.39104,2289.287496,2436.606986,2217.558931,2036.8348,2022.000347,2222.310085,2197.910637,2162.660159,2422.281706,1946.546358,1819.778738
Carvao mineral,80.17884142,62.745,85.0784996,92.38373194,71.10005395,125.1712287,104.8721176,163.5058373,152.3589508,168.5151387,171.9203763,125.7659238,149.1093386,190.3274567,137.5115956,104.7947318
Lenha,50.110632,52.08,51.0384,50.53,44.66852,49.22917589,48.24459237,47.27970053,49.8015,48.80547,47.85687,42.966,46.89172781,46.14843585,44.14541587,46.49681713
Bagaco de cana,96.10636073,98,105.4664748,94.5,95,92.554358,92.07,90.2286,90.9,89.082,84.55,80.75,80.93386415,79.65096216,76.19380342,80.2522589
Oleo diesel,133.0613869,137.1473805,150.2053145,150.346237,131.8226433,25.64098617,11.82363597,12.30515724,22.11490731,18.4649207,16.83462251,15.15679015,16.77455731,16.09684226,15.06117203,16.24358511
Biodiesel,0.002225338,0.213521944,1.352677218,3.726288122,4.357521174,1.248508413,0.581201569,0.604871185,1.087078363,1.036597127,1.183444249,1.065495595,1.320416622,1.615560609,1.621978719,1.917471824
Oleo combustivel,622.2352932,642.53,481.1801873,476.4312,476.4312,233.2080319,376.8778645,328.3789718,424.1735548,322.938091,206.605021,325.978851,132.9985522,90.85190739,87.10565656,70.71192609
GLP,21.07519412,61.4055,62.38405471,66.18546853,66.58509142,63.544,176.3793801,189.7073899,192.371362,217.1852473,214.7312756,184.9195441,210.7863276,202.5052331,191.1122914,185.5773985
Eletricidade,1814.071858,1879.5472,1985.24799,1901.404411,1996.474632,2055.226104,2014.121582,2022.94523,1962.28866,1923.042887,1940.353414,1900.76684,1905.094801,1948.776804,1805.52081,1785.0157
Carvao vegetal,16.62804,17.1268812,17.46941882,17.12003045,18.31843258,20.18874455,19.78496965,19.38927026,18.7986,17.85867,18.26888,16.82184,16.86014258,16.59288844,15.87269313,16.71815057
Outras fontes secundarias,2139.31977,2177.510381,2516.569978,2032.787858,2168.965515,2258.711479,2158.44805,2144.951815,2035.370879,1879.727119,1950.241604,1851.300308,2295.390621,1894.511992,2354.255487,1707.125323
