FONTES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gas natural,1113.204491,1104.594978,1213.52,1157.679566,694.848,896.5963993,1129.322116,1218.527349,1283.681086,1035.76514,1223.450652,1012.278395,1160.547368,1170.686013,1203.495769,1140.365958
Carvao mineral,1828.503,1813.17,1938.526122,2052.4446,1578.329862,1772.218294,1924.268942,1854.187747,1807.85475,2052.570294,2124.40995,1935.36846,2289.332462,2419.995725,2202.922649,2094.836113
Oleo diesel,43.87602535,39.89126279,14.14805575,13.63029071,13.92321258,14.56176397,33.42560953,36.08417538,35.25383668,33.36372959,26.91046102,23.480074,25.45947784,24.40968568,24.26608005,26.42147753
Biodiesel,0.000733789,0.062105889,0.127410623,0.337822824,0.460244857,0.70904,1.643066208,1.773750428,1.732934375,1.872997279,1.891757911,1.650607759,2.004053943,2.449879674,2.613280383,3.118919769
Oleo combustivel,81.80181132,107.408,144.7251488,141.932,113.5456,168.336147,28.5797668,29.41925374,39.76403947,34.95465334,1.59602897,2.461071685,3.337383982,0.285630573,2.32668505,3.753965873
GLP,99.65295959,85.4178,88.2934104,97.149,89.68948985,70.79964277,26.2165146,19.74935189,19.23712912,25.78701259,25.12503173,59.39398395,43.38426974,33.1168597,24.09028994,26.47950472
Gas de coqueria,1016.383732,980.4,1038.928079,1065.11,1011.36,1249.731904,1288.47608,1236.937037,1199.9967,1199.7,1148.1129,1113.669513,1201.751536,1240.373041,1130.635706,1061.315446
Coque de carvao mineral,6066.538488,5762.88,6319.71,6289.35,4968.5865,7153.205913,7750.085796,7494.887351,7308.90366,7237.04292,7441.26222,6727.840639,7340.382803,7455.075952,6809.27707,6449.906973
Eletricidade,1397.3036,1451.5596,1579.236318,1601.517748,1281.214198,1612.93,1714.228772,1695.633077,1691.73008,1671.912068,1609.441926,1484.701045,1628.386466,1653.348669,1522.61941,1456.559857
Carvao vegetal,4803.699928,4635.570431,4774.637543,4679.1718,2723.728992,3371.976492,3491.570891,3338.215164,3021.26448,2961.91,2987.74354,2489.778833,2621.695219,2773.448042,2899.665784,2873.631915
Alcatrao,461.7773005,464.301,551.3328051,527.8990019,531.4638768,134.22933,144.73774,139.223576,129.4386,132.77691,135.1251915,119.1579414,131.1425301,131.5618153,119.9429963,112.8731523
