FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras,Total
Gas natural,0,0.121120237,0.878879763,0,0,0,0,1
Carvao mineral,0,0,1,0,0,0,0,1
Carvao metalurgico,0,0,0,0,0,0,0,0
Lenha,0,0,1,0,0,0,0,1
Bagaco de cana,0,0,0,0,0,0,0,1
Outras fontes,0,0,1,0,0,0,0,1
Oleo diesel,1,0,0,0,0,0,0,1
Oleo combustivel,0,0,1,0,0,0,0,1
Gasolina,0,0,0,0,0,0,0,0
GLP,1,0,0,0,0,0,0,1
Querosene,0,0,0,0,0,0,0,1
Gas,0,0,0,0,0,0,0,0
Coque de carvao mineral,0,0,0,0,0,0,0,0
Eletricidade,0.878260405,0,0.012805226,0.052145029,0.05678934,0,0,1
Carvao vegetal,0,0,0,0,0,0,0,0
Alcool etilico,0,0,0,0,0,0,0,0
Outras fontes secundarias,0,0,1,0,0,0,0,1
Alcatrao,0,0,0,0,0,0,0,0
