FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0,0.735004954,0.56316523,0,0,0,0
Carvao mineral,0,0,0.41817262,0,0,0,0
Carvao metalurgico,0,0,0,0,0,0,0
Lenha,0,0,0.417532522,0,0,0,0
Bagaco de cana,0,0,0,0,0,0,0
Outras fontes,0,0.62,0.4,0,0,0,0
Oleo diesel,0.437527579,0,0,0,0,0,0
Oleo combustivel,0,0,0.55,0,0,0,0
Gasolina,0,0,0,0,0,0,0
GLP,0.280010251,0,0,0,0,0,0
Querosene,0,0,0,0,0,0,0
Gas,0,0,0,0,0,0,0
Coque de carvao mineral,0,0,0,0,0,0,0
Eletricidade,0.896227618,0,0.6,0.632995032,0.264873094,0,0
Carvao vegetal,0,0,0,0,0,0,0
Alcool etilico,0,0,0,0,0,0,0
Outras fontes secundarias,0,0,0.55,0,0,0,0
Alcatrao,0,0,0,0,0,0,0
