FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0,0,0.6,0,0,0,0
Carvao mineral,0,0,0.6,0,0,0,0
Carvao metalurgico,0,0,0.6,0,0,0,0
Lenha,0,0.7,0.6,0,0,0,0
Bagaco de cana,0,0.7,0.6,0,0,0,0
Outras fontes,0,0.7,0.6,0,0,0,0
Oleo diesel,0.45,0.8,0.6,0,0,0,0
Oleo combustivel,0,0.8,0.6,0,0,0,0
Gasolina,0.3,0,0,0,0,0,0
GLP,0.29,0.8,0.6,0,0.002,0,0
Querosene,0.3,0.8,0.6,0,0.002,0,0
Gas,0.35,0.8,0.6,0,0,0,0
Coque de carvao mineral,0,0,0.6,0,0,0,0
Eletricidade,0.94,0.96,0.55,0.7,0.29,0.59,1
Carvao vegetal,0,0.7,0.6,0,0,0,0
Alcool etilico,0.35,0,0,0,0,0,0
Outras fontes secundarias,0,0.8,0.6,0,0,0,0
Alcatrao,0,0.8,0.6,0,0,0,0
