FONTES,F.M.,C.P.,A.D.,Refrig.,Ilumin.,Eletroq.,Outras
Gas natural,0,0.935,0.55,0,0,0,0
Carvao vapor,0,0.903,0.55,0,0,0,0
Carvao metalurgico,0,0,0,0,0,0,0
Lenha,0,0.903,0.55,0,0,0,0
Produtos da cana,0,0.903,0,0,0,0,0
Outras fontes,0,0.903,0.55,0,0,0,0
Oleo diesel,0.45,0.935,0.55,0,0,0,0
Oleo combustivel,0,0.935,0,0,0,0,0
Gasolina,0,0,0,0,0,0,0
GLP,0.3,0.935,0.55,0,0,0,0
Querosene,0,0.935,0.55,0,0,0,0
Gas,0,0,0,0,0,0,0
Coque de carvao mineral,0,0,0,0,0,0,0
Eletricidade,0.97,0,0,0.92,0.85,0,0
Carvao vegetal,0,0,0,0,0,0,0
Alcool etilico,0,0,0,0,0,0,0
Outras fontes secundarias,0,0,0,0,0,0,0
Alcatrao,0,0,0,0,0,0,0
