FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0.350,0.750,0.600,0.000,0.000,0.000,0.000
Carvao mineral,0.000,0.650,0.600,0.000,0.000,0.000,0.000
Carvao metalurgico,0.000,0.000,0.600,0.000,0.000,0.000,0.000
Lenha,0.000,0.650,0.600,0.000,0.000,0.000,0.000
Produtos da cana,0.000,0.650,0.600,0.000,0.000,0.000,0.000
Outras fontes,0.000,0.650,0.600,0.000,0.000,0.000,0.000
Oleo diesel,0.450,0.750,0.600,0.000,0.000,0.000,0.000
Oleo combustivel,0.000,0.750,0.600,0.000,0.000,0.000,0.000
Gasolina,0.300,0.000,0.000,0.000,0.000,0.000,0.000
GLP,0.290,0.750,0.600,0.000,0.002,0.000,0.000
Querosene,0.300,0.750,0.600,0.000,0.002,0.000,0.000
Gas,0.350,0.750,0.600,0.000,0.000,0.000,0.000
Coque de carvao mineral,0.000,0.000,0.600,0.000,0.000,0.000,0.000
Eletricidade,0.940,0.950,0.680,0.700,0.280,0.590,1.000
Carvao vegetal,0.000,0.650,0.600,0.000,0.000,0.000,0.000
Alcool etilico,0.350,0.000,0.000,0.000,0.000,0.000,0.000
Outras fontes secundarias,0.000,0.750,0.600,0.000,0.000,0.000,0.000
Alcatrao,0.000,0.750,0.600,0.000,0.000,0.000,0.000
