FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0,0,1,0,0,0,0
Carvao mineral,0,0,1,0,0,0,0
Carvao metalurgico,0,0,1,0,0,0,0
Lenha,0,0,1,0,0,0,0
Bagaco de cana,0,1,0,0,0,0,0
Outras fontes,0,0.5,0.5,0,0,0,0
Oleo diesel,0.8326,0.1665,0.0009,0,0,0,0
Oleo combustivel,0,0.0818,0.9182,0,0,0,0
Gasolina,1,0,0,0,0,0,0
GLP,0,0,1,0,0,0,0
Querosene,0,1,0,0,0,0,0
Gas,0,0,1,0,0,0,0
Coque de carvao mineral,0,0,1,0,0,0,0
Eletricidade,0.995,0,0,0,0.05,0,0
Carvao vegetal,0,0,1,0,0,0,0
Alcool etilico,1,0,0,0,0,0,0
Outras fontes secundarias,0,0.5,0.5,0,0,0,0
Alcatrao,0,0.5,0.5,0,0,0,0
