FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0,0,0.55,0,0,0,0
Carvao mineral,0,0,0.55,0,0,0,0
Carvao metalurgico,0,0,0.55,0,0,0,0
Lenha,0,0.68,0.55,0,0,0,0
Outras fontes,0,0.68,0.55,0,0,0,0
Oleo diesel,0.43,0.78,0.55,0,0,0,0
Oleo combustivel,0,0.78,0.55,0,0,0,0
Gasolina,0.28,0,0,0,0,0,0
GLP,0.28,0.78,0.55,0,0.002,0,0
Querosene,0.28,0.78,0.55,0,0.002,0,0
Gas,0.33,0.78,0.55,0,0,0,0
Coque de carvao mineral,0,0,0.55,0,0,0,0
Eletricidade,0.961,0,0,0,0.37,0,0
Carvao vegetal,0,0.68,0.55,0,0,0,0
Alcool etilico,0.34,0,0,0,0,0,0
Outras fontes secundarias,0,0.78,0.55,0,0,0,0
Alcatrao,0,0.78,0.55,0,0,0,0
