FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0,0.99,0.99,0,0,0,0
Carvao mineral,0,0.99,0,0,0,0,0
Carvao metalurgico,0,0,0,0,0,0,0
Lenha,0,0.99,0.99,0,0,0.9,0
Bagaco de cana,0,0,0,0,0,0,0
Outras fontes,0,0,0,0,0,0,0
Oleo diesel,0.45,0,0.8,0,0,0,0
Oleo combustivel,0,0.9,0.9,0,0,0,0
Gasolina,0,0,0,0,0,0,0
GLP,0.3,0,0,0,0,0,0
Querosene,0,0,0,0,0,0,0
Gas,0,0,0,0,0,0,0
Eletricidade,0.999,0.999,0.999,0,0.999,0.99,1
Carvao vegetal,0,0.99,0.99,0,0,0,0
Alcool etilico,0,0,0,0,0,0,0
Outras fontes secundarias,0,0,0.9,0,0,0.99,0
Alcatrao,0,0,0,0,0,0,0





