Produto,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Alumíno,1497.6,1603.6,1654.8,1661.1,1535.9,1536.2,1440.4,1436.4,1304.3,962,772,793,801.7,659,659,659,799.9624392,817.7046626,835.8403876,862.4744087,889.9571219,906.0416168,922.4168122,939.0879621,956.0604153,973.3396173,997.4429851,1022.143238,1047.455158,1073.393892,1099.974961,1129.866584,1160.570506,1192.108802,1224.504146,1257.779827,1283.848124,1310.456704,1337.616763,1365.339732,1393.637278,1422.907142,1452.791745,1483.304001,1514.457089,1546.264471
Chumbo,104.9,108.951,130.9,95.7,100,114.88,138,165.4,152,160.4,176.246,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobre,306.6,352.884,359,383,400.9,655,624.8,593.7,682.8,239.2,241.5,225.6,143,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estanho,8.986,8.784,10.19,10.8,10.5,6.5,7,9.8,16.1,12.1,16.5,12.5,13.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnésio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Níquel,36.563,36.224,37.4,35.8,32.8,41.9,51,67.1,66,79.6,77.1,77.1,68.5,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silício Metálico,229.294,226.38,225.12,219.6,154,184.2,210.4,225,230,230,150,110,110,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinco,266.508,272.33,265,245.9,242,288.1,284.8,246.5,242,246,246,270.2,284.5,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,4.95,5.407,5.385,5.531,4.319,5.804,6.045,5.632,5.659,5.435,4.979,4.509,4.466,4.351,4.351,4.351,4.351,4.351,4.351,4.489644444,4.632706788,4.716435259,4.801676982,4.888459308,4.97681008,5.066757646,5.192228675,5.320806815,5.452569009,5.587594106,5.725962907,5.881564925,6.0413954,6.20556924,6.374204474,6.547422341,6.683121887,6.821633894,6.963016651,7.107329658,7.254633644,7.406999069,7.56256455,7.721397294,7.883565922,8.049140496

