FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0.330,0.720,0.520,,,,
Carvao mineral,,0.620,,,,,
Carvao metalurgico,,,,,,,
Lenha,,0.620,0.320,,,,
Bagaco de cana,,0.620,0.320,,,,
Oleo diesel,0.430,0.720,0.520,,,,
Biodiesel,0.430,0.720,0.520,,,,
Oleo combustivel,,0.720,0.520,,,,
GLP,0.280,0.720,0.520,,0.002,,
Querosene,0.280,0.720,0.520,,0.002,,
Coque de carvao mineral,,,,,,,
Eletricidade,0.750,0.940,0.550,0.600,0.240,0.570,1.000
Carvao vegetal,,0.620,0.320,,,,
Outras fontes secundarias,,0.620,0.320,,,,
