FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0.350,0.750,0.550,,,,
Carvao mineral,,0.650,,,,,
Carvao metalurgico,,,,,,,
Lenha,,0.650,0.350,,,,
Bagaco de cana,,0.650,0.350,,,,
Oleo diesel,0.450,0.750,0.550,,,,
Biodiesel,0.450,0.750,0.550,,,,
Oleo combustivel,,0.750,0.550,,,,
Gasolina,0.300,,,,,,
GLP,0.290,0.750,0.550,,0.002,,
Querosene,0.300,0.750,0.550,,0.002,,
Gas,0.350,0.750,0.550,,,,
Coque de carvao mineral,,,,,,,
Eletricidade,0.830,0.950,0.550,0.700,0.280,0.590,1.000
Carvao vegetal,,0.650,0.350,,,,
Outras fontes secundarias,,0.650,0.350,,,,
