FONTES,F.M.,C.P.,A.D.,Refrig.,Ilumin.,Eletroq.,Outras,Total
Gas natural,0,1,0,0,0,0,0,1
Carvao vapor,0,1,0,0,0,0,0,1
Carvao mineral,0,0,0,0,0,0,0,0
Lenha,0,1,0,0,0,0,0,1
Bagaco de cana,0,0.999,0.001,0,0,0,0,1
Lixivia,0,1,0,0,0,0,0,1
Oleo diesel,0,1,0,0,0,0,0,1
Oleo combustivel,0,0.411104541,0.588895459,0,0,0,0,1
Gasolina,0,0,0,0,0,0,0,0
GLP,0,0,1,0,0,0,0,1
Querosene,0,0,0,0,0,0,0,1
Gas,0,0,0,0,0,0,0,0
Coque de carvao mineral,0,0,0,0,0,0,0,0
Eletricidade,0.995629726,0,0,0,0.004370274,0,0,1
Carvao vegetal,0,0,0,0,0,0,0,0
Alcool etilico,0,0,0,0,0,0,0,0
Outras fontes secundarias,0,0,0,0,0,0,0,1
Alcatrao,0,0,0,0,0,0,0,0
