FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0,0.895101783,0,0,0,0,0
Carvao vapor,0,0,0,0,0,0,0
Carvao mineral,0,0.85944788,0,0,0,0,0
Lenha,0,0.82963916,0,0,0,0,0
Bagaco de cana,0,0.859447883,0,0,0,0,0
Lixivia,0,0.859447883,0,0,0,0,0
Oleo diesel,0,0.895025918,0,0,0,0,0
Oleo combustivel,0,0.895025918,0.55,0,0,0,0
Gasolina,0,0,0,0,0,0,0
GLP,0,0,0.55,0,0,0,0
Querosene,0,0,0,0,0,0,0
Gas,0,0,0,0,0,0,0
Coque de carvao mineral,0,0,0,0,0,0,0
Eletricidade,0.908430933,0,0,0,0.529721765,0,0
Carvao vegetal,0,0,0,0,0,0,0
Alcool etilico,0,0,0,0,0,0,0
Outras fontes secundarias,0,0,0,0,0,0,0
Alcatrao,0,0,0,0,0,0,0
