FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0.000,0.937,0.063,0.000,0.000,0.000,0.000
Carvao mineral,0.000,0.645,0.355,0.000,0.000,0.000,0.000
Carvao metalurgico,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Lenha,0.000,0.820,0.180,0.000,0.000,0.000,0.000
Bagaco de cana,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Outras fontes,0.000,0.500,0.500,0.000,0.000,0.000,0.000
Oleo diesel,0.600,0.204,0.196,0.000,0.000,0.000,0.000
Oleo combustivel,0.000,0.937,0.063,0.000,0.000,0.000,0.000
Gasolina,1.000,0.000,0.000,0.000,0.000,0.000,0.000
GLP,0.031,0.837,0.132,0.000,0.000,0.000,0.000
Querosene,0.000,0.870,0.130,0.000,0.000,0.000,0.000
Gas,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Coque de carvao mineral,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Eletricidade,0.575,0.000,0.000,0.400,0.020,0.000,0.005
Carvao vegetal,0.000,0.200,0.800,0.000,0.000,0.000,0.000
Alcool etilico,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Outras fontes secundarias,0.000,0.500,0.500,0.000,0.000,0.000,0.000
Alcatrao,0.000,0.500,0.500,0.000,0.000,0.000,0.000
