FONTES,Forca motriz,Calor de processo,Aquecimento direto,Refrigeracao,Iluminacao,Eletroquimica,Outras
Gas natural,0.35,0.9,0.55,0.77,,,
Carvao mineral,,0.82,,,,,
Carvao metalurgico,,,,,,,
Lenha,,0.82,0.35,,,,
Bagaco de cana,,0.82,0.35,,,,
Outras fontes,,0.82,0.35,,,,
Oleo diesel,0.45,0.9,0.55,0.77,,,
Oleo combustivel,,0.9,0.55,0.77,,,
Gasolina,0.3,,,,,,
GLP,0.29,0.9,0.55,0.77,0.002,,
Querosene,0.3,0.9,0.55,0.77,0.002,,
Gas,0.35,0.9,0.55,0.77,,,
Coque de carvao mineral,,,,,,,
Eletricidade,0.94,0.98,0.55,0.8,0.28,,1
Carvao vegetal,,0.82,0.35,,,,
Alcool etilico,0.35,,,,,,
Outras fontes secundarias,,,,,,,
Alcatrao,,,,,,,
