Combustivel,BRL/ktep,US$/ktoe,Fonte
Petroleo,1462689,314640,EPE
Oleo diesel,2332547,731880,EPE
Biodiesel,2332547,731880,SEM FONTE
Oleo combustivel,1339603,371412,EPE
Gasolina,2505195,1005480,EPE
Alcool,4372549,1073880,EPE
GLP,1253971,906984,EPE
Gas natural,515773,458964,EPE
Carvao vapor,524702,89604,EPE
Eletricidade,1790698,1496592,EPE
Querosene,2813869,458964,SEM FONTE
Carvao vegetal,68320,422028,EPE
Lenha,73277,211356,EPE
Produtos da cana,218485,211356,SEM FONTE
Outras fontes primarias,800000,458964,SEM FONTE
Gas de coqueria,506876,458964,SEM FONTE
Coque metalurgico,506876,458964,SEM FONTE
Outras secundarias de petroleo,800000,458964,SEM FONTE
Alcatrao,800000,458964,SEM FONTE
Carvao mineral,409296,458964,SEM FONTE
