Fuel,BRL/ktep,US$/ktoe,Fonte
Petroleo,1462689.374,314640,EPE
Oleo diesel,2332547.17,731880,EPE
Biodiesel,2332547.17,731881,EPE
Oleo combustivel,1339602.926,371412,EPE
Gasolina,2505194.805,1005480,EPE
Alcool,4372549.02,1073880,EPE
GLP,1253970.54,906984,EPE
Gas natural,515772.7273,458964,EPE
Carvao vapor,524702.2621,89604,EPE
Eletricidade,1790697.674,1496592,EPE
Querosene,2813868.613,458964,SEM FONTE
Carvao vegetal,68319.54334,422028,EPE
Lenha,73276.53881,211356,EPE
Produtos da cana,218484.5614,211356,SEM FONTE
Outras fontes primarias,800000,458964,SEM FONTE
Outras fontes secundarias,800000,458964,SEM FONTE
Gas de coqueria,506876.087,458964,SEM FONTE
Coque metalurgico,506876.087,458964,SEM FONTE
Coque de petroleo,800000,458964,SEM FONTE
Alcatrao,800000,458964,SEM FONTE
Carvao mineral,409295.5905,458965,SEM FONTE
Residuos industriais nao perigosos,216000,458966,SEM FONTE
Residuos industriais perigosos,216000,458967,SEM FONTE
CDR,216000,458968,SEM FONTE
Pneus,216000,458969,SEM FONTE
Residuos agricolas,216000,458970,SEM FONTE
Esgoto,216000,458971,SEM FONTE
