Sector,Energy carrier,Alpha,Gamma,Delta,Epsilon
Iron and steel,Electricity,1.00,8.42,0.10,0.56
Iron and steel,Light fuel oil,1.00,3.24,0.10,0.53
Iron and steel,Hard coal,5.39,6.37,0.10,0.53
Iron and steel,Coke,4.00,8.85,0.10,0.53
Iron and steel,Lignite,1.00,0.00,0.10,0.53
Iron and steel,Natural Gas,3.26,9.66,0.10,0.53
Iron and steel,Petroleum coke,1.48,0.00,0.10,0.53
Iron and steel,Heavy fuel oil,4.00,6.00,0.10,0.53
Iron and steel,Derived gases,3.00,9.00,0.10,0.53
Iron and steel,Stack gas,3.00,6.80,0.10,0.53
Iron and steel,Waste non-RES,1.00,0.00,0.10,0.53
Iron and steel,Biomass solid,8.00,0.00,0.10,0.53
Iron and steel,Biogas,6.00,0.00,0.10,0.53
Iron and steel,Waste RES,1.00,0.00,0.10,0.53
Iron and steel,Geothermal,2.73,0.00,0.10,0.53
Iron and steel,Biofuels liquid,2.67,0.00,0.10,0.53
Non-ferrous metals,Electricity,1.00,6.45,0.10,0.77
Non-ferrous metals,Light fuel oil,10.00,7.87,0.10,0.77
Non-ferrous metals,Hard coal,1.00,5.93,0.10,0.77
Non-ferrous metals,Coke,1.00,4.62,0.10,0.77
Non-ferrous metals,Lignite,4.59,2.22,0.10,0.77
Non-ferrous metals,Natural Gas,6.63,10.00,0.10,0.77
Non-ferrous metals,Petroleum coke,1.32,0.00,0.10,0.77
Non-ferrous metals,Heavy fuel oil,4.90,7.22,0.10,0.77
Non-ferrous metals,Derived gases,1.00,5.88,0.10,0.77
Non-ferrous metals,Stack gas,1.00,0.00,0.10,0.77
Non-ferrous metals,Waste non-RES,1.00,0.00,0.10,0.77
Non-ferrous metals,Biomass solid,8.00,0.00,0.10,0.77
Non-ferrous metals,Biogas,1.00,0.00,0.10,0.77
Non-ferrous metals,Waste RES,1.00,0.00,0.10,0.77
Non-ferrous metals,Geothermal,1.24,0.00,0.10,0.77
Non-ferrous metals,Biofuels liquid,1.68,0.00,0.10,0.77
Paper and printing,Electricity,1.00,7.00,0.10,0.60
Paper and printing,Light fuel oil,3.77,3.85,0.10,0.60
Paper and printing,Hard coal,1.00,3.87,0.10,0.60
Paper and printing,Coke,1.00,0.00,0.10,0.60
Paper and printing,Lignite,6.53,0.02,0.10,0.60
Paper and printing,Natural Gas,1.00,8.37,0.10,0.60
Paper and printing,Petroleum coke,1.00,0.00,0.10,0.60
Paper and printing,Heavy fuel oil,4.78,6.25,0.10,0.60
Paper and printing,Derived gases,1.00,3.82,0.10,0.60
Paper and printing,Stack gas,1.00,0.00,0.10,0.60
Paper and printing,Waste non-RES,1.00,0.46,0.10,0.60
Paper and printing,Biomass solid,1.47,10.00,0.10,0.60
Paper and printing,Biogas,1.00,0.00,0.10,0.60
Paper and printing,Waste RES,1.00,0.00,0.10,0.60
Paper and printing,Geothermal,3.78,0.00,0.10,0.60
Paper and printing,Biofuels liquid,5.09,0.00,0.10,0.60
Non-metallic mineral products,Electricity,1.00,1.00,0.10,1.04
Non-metallic mineral products,Light fuel oil,1.00,2.73,0.10,1.04
Non-metallic mineral products,Hard coal,1.00,3.57,0.10,1.04
Non-metallic mineral products,Coke,1.00,1.39,0.10,1.04
Non-metallic mineral products,Lignite,1.00,1.15,0.10,1.04
